Polomer	h	k	B	Cp	b	z1	y1	z2	y2	x
0.9	1.030849889	0.3525834442	0.1829367149	0.5407825546	0.09299270873	30.47673814	7.323719136	-62.16471714	-0.751219982	900
0.90625	1.030415889	0.3526449925	0.1817488397	0.540630277	0.09240799982	30.29373358	7.241689836	-61.77468811	-0.6731164195	906.25
0.9125	1.029990889	0.3526981161	0.1805748644	0.5404754253	0.0918307667	30.11292934	7.161107217	-61.38955112	-0.5968423636	912.5
0.91875	1.029573889	0.3527775041	0.1794191037	0.5403180753	0.09125832267	29.93341979	7.081876	-61.00751279	-0.5226121145	918.75
0.925	1.029164889	0.3528737498	0.178279992	0.5401582884	0.09069128448	29.75542459	7.003982206	-60.62899181	-0.4503019504	925
0.93125	1.028764889	0.3529301602	0.1771498539	0.5399961125	0.09013370788	29.580334	6.927495784	-60.25670766	-0.3794353187	931.25
0.9375	1.028371889	0.3530303573	0.1760393372	0.5398316291	0.0895793638	29.40603545	6.852238349	-59.8864962	-0.3105969487	937.5
0.94375	1.027987889	0.3530694706	0.174934619	0.53966487	0.0890357757	29.23509892	6.778364993	-59.52339595	-0.2429557564	943.75
0.95	1.027609889	0.3531823295	0.1738528082	0.5394959267	0.08849308856	29.06417757	6.705611776	-59.16081804	-0.1774742114	950
0.95625	1.027239889	0.3532629808	0.1727800535	0.5393248264	0.08795885562	28.8958505	6.634135647	-58.80381947	-0.1133207991	956.25
0.9625	1.026877889	0.3533006819	0.1717148436	0.5391516193	0.08743370152	28.73033748	6.563926753	-58.45282094	-0.05037974333	962.5
0.96875	1.026521889	0.3533865919	0.1706684711	0.5389763817	0.08691104841	28.56540754	6.494803021	-58.10342765	0.01071923648	968.75
0.975	1.026172889	0.3534618668	0.1696332749	0.5387991473	0.08639498827	28.40246021	6.426839531	-57.75837933	0.07044686903	975
0.98125	1.025829889	0.3535696162	0.1686143978	0.5386199773	0.0858824101	28.24044415	6.359939101	-57.41559991	0.1285284072	981.25
0.9875	1.025493889	0.3536492585	0.1676041011	0.5384389016	0.08537746326	28.08077738	6.29417905	-57.07786587	0.1854383873	987.5
0.99375	1.025164889	0.3536910762	0.166601051	0.5382559621	0.08488069647	27.92365263	6.22955083	-56.74554616	0.2412781592	993.75
1	1.024840889	0.353794234	0.1656171831	0.5380712343	0.08438517923	27.76671954	6.165868111	-56.41401323	0.2953736935	1000
1.00625	1.024522889	0.3538976197	0.1646447797	0.5378847414	0.08389506435	27.61139637	6.103209802	-56.08604472	0.3481965584	1006.25
1.0125	1.024211889	0.3539371223	0.163675943	0.5376965062	0.08341461679	27.45913858	6.041657556	-55.76449138	0.4002293812	1012.5
1.01875	1.023904889	0.354072323	0.1627296814	0.5375066192	0.08293291903	27.30624093	5.980932384	-55.44206456	0.4503810552	1018.75
1.025	1.023604889	0.3541268313	0.1617846595	0.5373150651	0.08246183029	27.15673956	5.921297477	-55.12668592	0.4999188686	1025
1.03125	1.023309889	0.3542060898	0.1608533136	0.5371219141	0.08199414755	27.00819175	5.862563384	-54.81354788	0.548134176	1031.25
1.0375	1.023019889	0.3543034688	0.1599346367	0.5369272025	0.08153026055	26.86073522	5.804721682	-54.5029131	0.5951038843	1037.5
1.04375	1.022734889	0.354412192	0.1590276272	0.5367309636	0.08107056002	26.71450781	5.747764372	-54.19504466	0.6409041262	1043.75
1.05	1.022455889	0.3544649741	0.1581242821	0.5365332119	0.08061940177	26.57099386	5.69177757	-53.89285112	0.6860216067	1050
1.05625	1.022180889	0.3545747342	0.1572375789	0.5363340178	0.08016927852	26.42764807	5.63656734	-53.59132456	0.7297112163	1056.25
1.0625	1.021910889	0.354674641	0.1563595723	0.5361333925	0.07972452001	26.28594564	5.582220036	-53.29335602	0.7724551769	1062.5
1.06875	1.021645889	0.3547573409	0.1554892827	0.5359313666	0.07928552104	26.14602493	5.528729313	-52.99921026	0.814326653	1068.75
1.075	1.021385889	0.3548153309	0.1546257353	0.5357279681	0.07885267753	26.00802448	5.476089198	-52.70915261	0.8553981669	1075
1.08125	1.021129889	0.3549051439	0.1537752047	0.5355232473	0.07842228077	25.87068927	5.424197547	-52.42071092	0.8953149338	1081.25
1.0875	1.020877889	0.3550213195	0.1529368685	0.5353172326	0.07799464345	25.73412965	5.373047394	-52.13409557	0.9341389963	1087.5
1.09375	1.020630889	0.3550925367	0.1521025687	0.5351099275	0.07757424184	25.5998689	5.322729834	-51.85229259	0.9723645546	1093.75
1.1	1.020387889	0.3551772673	0.1512787367	0.5349013807	0.07715728471	25.46662389	5.273142037	-51.57277521	1.009625791	1100
1.10625	1.020148889	0.3552696853	0.1504645638	0.5346916181	0.07674408746	25.33450538	5.224278061	-51.29575503	1.04598294	1106.25
1.1125	1.019913889	0.3553638466	0.1496592453	0.5344806643	0.07633496632	25.20362426	5.17613228	-51.02144402	1.081495682	1112.5
1.11875	1.019682889	0.3554536888	0.148861981	0.5342685426	0.07593023845	25.07409158	5.128699388	-50.7500546	1.116223152	1118.75
1.125	1.019455889	0.3555330313	0.1480719744	0.5340552758	0.07553022188	24.94601854	5.081974383	-50.48179964	1.150223962	1125
1.13125	1.019231889	0.3556661363	0.1472960612	0.5338409148	0.07513090051	24.81804608	5.035851317	-50.21400412	1.183104896	1131.25
1.1375	1.019011889	0.3557776654	0.1465259207	0.5336254524	0.07473687152	24.69173684	4.990425835	-49.94973225	1.215368693	1137.5
1.14375	1.018795889	0.3558611014	0.1457607685	0.5334089116	0.07434845554	24.56720249	4.945693828	-49.68919819	1.247072445	1143.75
1.15	1.018583889	0.3559097991	0.1449998228	0.5331913103	0.07396597428	24.44455493	4.901651439	-49.43261664	1.278272857	1150
1.15625	1.018374889	0.355990873	0.1442501265	0.5329726975	0.07358529933	24.32239703	4.858191445	-49.17723842	1.308562427	1156.25
1.1625	1.018168889	0.3560999732	0.1435110505	0.5327530959	0.07320666689	24.20081186	4.815308747	-48.9232219	1.337987572	1162.5
1.16875	1.017965889	0.3562326534	0.1427819684	0.532532523	0.07283031392	24.07988262	4.772998468	-48.67072587	1.366594339	1168.75
1.175	1.017766889	0.3563079598	0.1420542912	0.5323109656	0.07246101657	23.96123111	4.731361456	-48.42293123	1.394901439	1175
1.18125	1.017570889	0.356395975	0.1413352688	0.5320884728	0.07209453317	23.84342187	4.690289082	-48.17701401	1.422487216	1181.25
1.1875	1.017377889	0.3564919727	0.1406242848	0.5318650629	0.07173110286	23.72653851	4.649777209	-47.93313412	1.449396476	1187.5
1.19375	1.017187889	0.3565911357	0.1399207261	0.5316407528	0.07137096554	23.6106648	4.609821921	-47.69145184	1.475673653	1193.75
1.2	1.017000889	0.3566885566	0.1392239822	0.5314155588	0.07101436183	23.49588466	4.570419528	-47.45212783	1.501362818	1200
1.20625	1.016816889	0.3567792368	0.1385334458	0.5311894965	0.07066153307	23.38228216	4.531566554	-47.21532316	1.526507689	1206.25
1.2125	1.016635889	0.3568580863	0.137848512	0.5309625806	0.07031272139	23.26994154	4.493259738	-46.9811993	1.55115165	1212.5
1.21875	1.016456889	0.3570024852	0.1371768877	0.5307348672	0.06996342478	23.15733966	4.455386283	-46.74676089	1.574842518	1218.75
1.225	1.016280889	0.3571263944	0.1365097626	0.5305063291	0.0696185724	23.04614878	4.418051835	-46.51528854	1.598111928	1225
1.23125	1.016107889	0.3572244728	0.1358465406	0.5302769832	0.06927840842	22.93645355	4.381253755	-46.28694483	1.621002249	1231.25
1.2375	1.015937889	0.3572912804	0.1351866276	0.5300468425	0.06894317785	22.82833888	4.34498958	-46.06189285	1.643555598	1237.5
1.24375	1.015769889	0.3574074618	0.134537936	0.5298159588	0.06860826268	22.72024246	4.309144779	-45.83706076	1.665305924	1243.75
